treatment,treatment_col,label,outcome,method,learner,n_obs,coef,se,t_stat,p_val,ci_lower,ci_upper,significance,ols_coef,ols_se,ols_pval
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),pre_rank,plr,lgbm,416,0.02124525661598829,0.02718929756498485,0.781383063141305,0.4345772295079401,-0.032044787376324615,0.07453530060830119,,4.826657692814019e-15,4.918496929796392e-15,0.3270272668424763
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),pre_rank,plr,rf,416,-0.0013001772628721665,0.0008248286073104248,-1.5762999141260918,0.11495670143189221,-0.0029168116266189304,0.0003164571008745973,,4.826657692814019e-15,4.918496929796392e-15,0.3270272668424763
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),pre_rank,plr,lgbm,411,0.045458746623449044,0.12914950423408367,0.35198545200030346,0.7248491728342376,-0.2076696302965582,0.2985871235434563,,-6.2445909080173e-15,3.3966426550531888e-15,0.06674913409438044
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),pre_rank,plr,rf,411,0.05642330391672505,0.03492907928409412,1.6153676270081043,0.10623110648884922,-0.012036433493243515,0.12488304132669362,,-6.2445909080173e-15,3.3966426550531888e-15,0.06674913409438044
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),pre_rank,plr,lgbm,416,0.003455482055725746,0.006689785659627617,0.5165310566793396,0.605483553775212,-0.009656256901436911,0.016567221012888402,,-6.856565433283819e-15,4.2187286444329614e-16,0.0
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),pre_rank,plr,rf,416,0.0010529290180486977,0.0017716572949008234,0.5943186761227657,0.5522989895866091,-0.0024194554729045736,0.004525313509001969,,-6.856565433283819e-15,4.2187286444329614e-16,0.0
T7_source_earned,treat_source_earned,T7 Source: Earned,pre_rank,plr,lgbm,446,-0.12709252946179442,0.09619031169641047,-1.3212612291237342,0.1864142767077268,-0.31562207604844084,0.06143701712485203,,1.7520560068466914e-14,3.677707748936794e-15,2.6035058409146217e-06
T7_source_earned,treat_source_earned,T7 Source: Earned,pre_rank,plr,rf,446,-0.005817331981051678,0.004418208601707145,-1.3166720961984293,0.18794856077857203,-0.014476861716582754,0.0028421977544793985,,1.7520560068466914e-14,3.677707748936794e-15,2.6035058409146217e-06
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),post_rank,plr,lgbm,416,-0.1540782293341014,0.22778051952761866,-0.6764328646437179,0.4987658571949617,-0.6005198439880565,0.2923633853198536,,-0.3786775486004673,0.2421872874726914,0.11871257757059372
T1a_stats_present,treat_stats_present,T1a Stats Present (binary),post_rank,plr,rf,416,-0.3086453104630582,0.22437569749331052,-1.3755737092349767,0.16895365091152392,-0.7484135965560009,0.1311229756298845,,-0.3786775486004673,0.2421872874726914,0.11871257757059372
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),post_rank,plr,lgbm,411,-0.03893778364421811,0.057550188162771826,-0.6765882942743575,0.4986672081592217,-0.15173407974675424,0.07385851245831801,,-0.07721921293218825,0.06602554099969585,0.24289677196609305
T1b_stats_density,treat_stats_density,T1b Stats Density (continuous),post_rank,plr,rf,411,-0.09286697679585575,0.05711641245379936,-1.6259245426342999,0.10396570842560883,-0.2048130881314375,0.01907913453972601,,-0.07721921293218825,0.06602554099969585,0.24289677196609305
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),post_rank,plr,lgbm,416,-0.8224517626917569,0.24196987536997042,-3.3989841150028837,0.0006763664455413387,-1.2967040037605444,-0.3481995216229694,***,-0.5272088125134672,0.2519310401539233,0.03701130200629743
T2a_question_headings,treat_question_headings,T2a Question Headings (binary),post_rank,plr,rf,416,-0.7534202631012563,0.28235642500339236,-2.668330508477731,0.007622922921085482,-1.3068286869113903,-0.20001183929112243,***,-0.5272088125134672,0.2519310401539233,0.03701130200629743
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),post_rank,plr,lgbm,416,-0.00612376746683923,0.005493061507683117,-1.1148186595533196,0.2649281386797082,-0.01688997018676143,0.004642435253082969,,-0.007954231540280632,0.0043279167369839186,0.06682389091694141
T2b_structural_modularity,treat_structural_modularity,T2b Structural Modularity (count),post_rank,plr,rf,416,-0.009839454804758287,0.004868943264642894,-2.0208604352016306,0.043294214569463904,-0.019382408246227233,-0.0002965013632893407,**,-0.007954231540280632,0.0043279167369839186,0.06682389091694141
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),post_rank,plr,lgbm,416,0.07621228743741584,0.19605130035215107,0.3887364546958979,0.6974711122873912,-0.3080412003750451,0.46046577524987675,,0.1841700284463408,0.21056304932875322,0.38228913057571634
T3_structured_data_new,treat_structured_data,T3 Structured Data (expanded),post_rank,plr,rf,416,0.2973200397392521,0.19877173622057134,1.495786299362624,0.13470935275256926,-0.09226540439756353,0.6869054838760678,,0.1841700284463408,0.21056304932875322,0.38228913057571634
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),post_rank,plr,lgbm,416,0.38802445961228804,0.426628523660769,0.9095136356162236,0.36307906348777264,-0.4481520815403135,1.2242010007648896,,-0.32164487674245257,0.3399627511595174,0.34466244834984017
T4a_ext_citations,treat_ext_citations_any,T4a External Citations (binary),post_rank,plr,rf,416,0.05958906631146845,0.45177030072445784,0.13190124763826122,0.8950624017795521,-0.8258644523932984,0.9450425850162353,,-0.32164487674245257,0.3399627511595174,0.34466244834984017
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),post_rank,plr,lgbm,416,-0.3315659805173757,0.2086641668557204,-1.5889933835483838,0.11206188649336297,-0.7405402324186441,0.07740827138389272,,-0.20363419959091955,0.23531073411633424,0.3873492507603915
T4b_auth_citations,treat_auth_citations,T4b Authority Citations (count),post_rank,plr,rf,416,-0.09322221846796659,0.1715591965538875,-0.5433822280619336,0.5868666593831434,-0.4294720649302142,0.24302762799428107,,-0.20363419959091955,0.23531073411633424,0.3873492507603915
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),post_rank,plr,lgbm,411,-0.08023669623550582,0.7719423800423003,-0.10394130223956491,0.917215930155407,-1.5932159592585455,1.4327425667875338,,-0.4398524440208673,0.7650651309788581,0.5656733186423253
T5_topical_comp,treat_topical_comp,T5 Topical Competence (cosine),post_rank,plr,rf,411,0.39843355260685437,0.7651071538583463,0.5207552309471952,0.6025372938303413,-1.1011489132694503,1.898016018483159,,-0.4398524440208673,0.7650651309788581,0.5656733186423253
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),post_rank,plr,lgbm,416,0.04996090257526082,0.0511249820403683,0.9772307115103078,0.3284549468628879,-0.05024222093411811,0.15016402608463975,,0.09213906800210184,0.05686037873428821,0.1059288904978739
T6_freshness,treat_freshness,T6 Freshness (ordinal 0-4),post_rank,plr,rf,416,0.06036133714841322,0.05584613678282683,1.0808507199548107,0.2797635226520835,-0.049095079621624925,0.16981775391845136,,0.09213906800210184,0.05686037873428821,0.1059288904978739
T7_source_earned,treat_source_earned,T7 Source: Earned,post_rank,plr,lgbm,446,0.9787743453303666,0.8531127187967553,1.1472977998861,0.25125856300842964,-0.6932958582643205,2.6508445489250536,,1.8927812018379515,0.6285205599816245,0.0027537489296900475
T7_source_earned,treat_source_earned,T7 Source: Earned,post_rank,plr,rf,446,1.6455226569063404,0.7498491909242393,2.194471470827519,0.02820153274342009,0.17584524885833264,3.1152000649543483,**,1.8927812018379515,0.6285205599816245,0.0027537489296900475
